id etudiant;school;sex;age;address;absences;heures-etudie;notes de smestre1;failures;reussite
M138217325;GL;F;18;U;2;2;10;0;yes
A192354314;GL;F;17;U;1;2;10;0;no
B329394859;GL;F;15;U;1;2;10;3;yes
A192354314;GL;F;15;U;1;3;10;0;no
Z192354320;GL;F;16;U;1;2;10;0;no
F192354321;GL;M;16;U;1;2;10;0;no
A192354322;GL;M;16;U;1;2;10;0;no
S192354323;GL;F;17;U;2;2;10;0;yes
F192354324;GL;M;15;U;1;2;10;0;no
F192354325;GL;M;15;U;1;2;10;0;no
F192354326;GL;F;15;U;1;2;10;0;no
S192354327;GL;F;15;U;3;3;10;0;no
F192354328;GL;M;15;U;1;1;12;0;no
F192354329;GL;M;15;U;2;2;14;0;no
F192354330;GL;M;15;U;1;3;15;0;no
F192354331;GL;F;16;U;1;1;16;0;no
F192354332;GL;F;16;U;1;3;9;0;no
F192354333;GL;F;16;U;3;2;5;0;yes
F192354334;GL;M;17;U;1;1;5;3;no
F192354335;GL;M;16;U;1;1;5;0;no
F192354336;GL;M;15;U;1;2;5;0;no
F192354337;GL;M;15;U;1;1;5;0;no
F192354338;GL;M;16;U;1;2;5;0;no
F192354339;GL;M;16;U;2;2;5;0;no
F192354340;GL;F;15;R;1;3;5;0;yes
F192354341;GL;F;16;U;1;1;5;2;no
F192354342;GL;M;15;U;1;1;5;0;no
F192354343;GL;M;15;U;1;1;5;0;no
F192354344;GL;M;16;U;1;2;5;0;yes
F192354345;GL;M;16;U;1;2;5;0;no
F192354346;GL;M;15;U;1;2;5;0;no
F192354347;GL;M;15;U;2;2;5;0;no
F192354348;GL;M;15;R;1;2;5;0;no
F192354349;GL;M;15;U;1;2;5;0;no
F192354350;GL;M;16;U;1;1;5;0;no
F192354351;GL;F;15;U;2;1;5;0;no
F192354352;GL;M;15;U;1;3;5;0;no
F192354353;GL;M;16;R;2;3;5;0;no
F192354354;GL;F;15;R;1;3;5;0;yes
F192354355;GL;F;15;R;1;1;5;0;yes
F192354356;GL;F;16;U;2;2;5;1;no
F192354357;GL;M;15;U;1;1;5;0;no
F192354358;GL;M;15;U;1;2;5;0;no
F192354359;GL;M;15;U;1;1;5;0;yes
F192354360;GL;F;16;U;2;2;5;1;yes
F192354361;GL;F;15;U;1;2;5;0;yes
F192354362;GL;F;16;U;1;2;5;0;no
F192354363;GL;M;16;U;1;4;5;0;no
F192354364;GL;M;15;U;1;2;5;0;no
F192354365;GL;F;15;U;1;2;5;1;yes
F192354366;GL;F;16;U;3;2;5;0;no
F192354367;GL;F;15;U;1;2;5;0;no
F192354368;GL;M;15;U;2;1;5;1;no
F192354369;GL;F;15;U;1;1;5;0;yes
F192354370;GL;F;15;U;1;1;10;0;no
F192354371;GL;F;16;U;1;2;10;0;no
F192354372;GL;F;15;U;1;2;10;0;no
F192354373;GL;M;15;U;1;2;10;0;no
F192354374;GL;M;15;U;1;2;10;0;yes
F192354375;GL;F;16;U;1;2;10;0;no
F192354376;GL;F;16;R;1;2;10;0;no
F192354377;GL;F;16;U;4;1;10;0;yes
F192354378;GL;F;16;U;1;2;10;0;yes
F192354379;GL;F;16;U;1;3;10;0;yes
F192354380;GL;F;15;U;1;2;10;0;yes
F192354381;GL;F;16;U;3;2;10;0;no
F192354382;GL;M;15;U;1;4;10;0;no
F192354383;GL;F;16;U;1;4;10;0;yes
F192354384;GL;F;15;R;2;2;10;0;yes
F192354385;GL;F;15;R;2;4;10;0;no
F192354386;GL;M;16;U;2;4;10;0;no
F192354387;GL;M;15;U;1;4;10;0;no
F192354388;GL;F;15;R;1;2;10;2;yes
F192354389;GL;M;16;U;1;1;10;0;no
F192354390;GL;F;16;U;1;2;10;0;yes
F192354391;GL;M;15;U;1;2;10;0;no
F192354392;GL;M;15;U;2;4;10;0;no
F192354393;GL;F;16;U;1;4;10;0;no
F192354394;GL;M;17;U;2;1;10;3;yes
F192354395;GL;F;16;U;1;2;10;0;no
F192354396;GL;M;15;U;1;1;10;0;yes
F192354397;GL;M;15;U;1;3;10;0;yes
F192354398;GL;F;15;U;1;2;10;0;no
F192354399;GL;M;15;U;2;2;10;0;no
F192354400;GL;F;15;U;1;2;10;0;no
F192354401;GL;F;15;U;2;2;10;2;no
F192354402;GL;F;16;U;1;2;10;0;no
F192354403;GL;F;15;U;1;3;10;0;no
S192354404;GL;M;16;U;2;2;10;1;no
F192354405;GL;M;16;U;1;2;10;0;no
F192354406;GL;F;16;U;1;3;10;0;no
F192354407;GL;F;15;U;1;1;10;0;no
F192354408;GL;F;16;U;1;2;10;0;yes
F192354409;GL;F;16;U;2;2;10;0;no
