age;heures-etudie;absences;note de smestre1;reussite
18;2;4;0;yes
17;2;2;9;yes
15;2;6;12;yes
15;3;0;14;yes
16;2;0;11;yes
16;2;6;12;yes
16;2;0;13;yes
17;2;2;10;yes
15;2;0;15;yes
15;2;0;12;yes
15;2;2;14;yes
15;3;0;10;yes
15;1;0;12;yes
15;2;0;12;yes
15;3;0;14;yes
16;1;6;17;yes
16;3;10;13;yes
16;2;2;13;yes
17;1;2;8;no
16;1;6;12;yes
15;2;0;12;yes
15;1;0;11;yes
16;2;0;12;yes
16;2;2;10;yes
15;3;2;10;yes
16;1;6;10;yes
15;1;8;11;yes
15;1;0;11;yes
16;2;2;12;yes
16;2;4;12;yes
15;2;0;10;yes
15;2;2;15;yes
15;2;0;13;yes
15;2;0;13;yes
16;1;4;12;yes
15;1;4;11;yes
15;3;0;14;yes
16;3;4;13;yes
15;3;2;11;yes
15;1;8;14;yes
16;2;16;11;yes
15;1;8;10;yes
15;2;0;14;yes
15;1;0;9;yes
16;2;14;10;yes
15;2;4;10;yes
16;2;6;13;yes
16;4;2;17;yes
15;2;4;11;yes
15;2;2;13;yes
16;2;0;14;yes
15;2;0;16;yes
15;1;4;10;no
15;1;0;13;yes
15;1;0;13;yes
16;2;2;12;yes
15;2;0;15;yes
15;2;8;15;yes
15;2;0;14;yes
16;2;2;16;yes
16;2;0;17;yes
16;1;0;10;yes
16;2;0;13;yes
16;3;0;14;yes
15;2;0;13;yes
16;2;2;16;yes
15;4;0;11;yes
16;4;0;10;yes
15;2;0;11;yes
15;4;6;15;yes
16;4;2;13;yes
15;4;0;11;yes
15;2;2;13;yes
16;1;0;13;yes
16;2;4;11;yes
15;2;0;11;yes
15;4;0;12;yes
16;4;1;13;yes
17;1;0;9;yes
16;2;14;12;yes
15;1;0;11;yes
15;3;2;10;no
15;2;4;12;yes
15;2;2;13;yes
15;2;2;13;yes
15;2;4;12;yes
16;2;6;13;yes
15;3;4;15;yes
16;2;6;12;yes
16;2;6;9;yes
16;3;2;9;yes
15;1;6;14;yes
16;2;0;12;yes
16;2;2;13;yes
15;4;2;11;yes
15;4;4;13;yes
16;1;6;9;yes
16;2;0;13;yes
16;1;4;12;yes
16;3;2;12;yes
16;1;12;9;no
16;3;0;16;yes
15;1;2;12;yes
15;2;16;11;yes
15;2;0;16;yes
15;4;10;10;yes
15;4;4;10;yes
16;3;4;13;yes
15;4;8;12;yes
16;3;2;15;yes
15;1;4;13;yes
16;3;4;11;yes
16;2;12;8;yes
15;1;10;18;yes
15;2;4;10;yes
16;2;6;16;yes
15;2;4;16;yes
16;1;6;14;yes
17;2;14;12;yes
15;1;2;14;yes
15;2;0;14;yes
15;4;6;14;yes
16;2;2;14;yes
16;1;4;12;yes
16;2;0;12;yes
15;1;2;9;no
15;2;0;10;yes
19;2;0;9;yes
16;1;8;14;yes
16;3;4;13;yes
15;3;0;10;yes
18;2;10;10;no
17;1;8;11;yes
15;1;6;11;yes
17;1;2;13;yes
16;1;12;15;yes
16;1;4;9;yes
16;1;12;13;yes
15;2;2;12;yes
15;3;4;13;yes
17;2;2;10;yes
16;2;0;14;yes
18;1;2;11;yes
18;3;10;12;yes
16;1;8;12;yes
16;1;4;9;yes
16;2;0;10;yes
15;1;6;13;yes
15;1;2;8;no
15;4;6;9;yes
15;2;24;9;no
16;3;0;15;yes
16;1;4;12;yes
15;3;2;13;yes
16;1;4;10;yes
17;1;22;9;no
15;2;0;12;yes
15;1;0;11;yes
15;2;2;11;yes
15;2;6;13;yes
15;2;6;11;yes
16;1;16;9;no
15;1;0;12;yes
18;1;0;11;no
16;1;6;9;yes
15;3;2;13;yes
19;1;6;11;yes
17;1;0;13;yes
15;2;0;7;no
17;1;14;9;yes
18;1;6;11;yes
16;1;4;12;yes
16;2;0;10;no
16;1;0;9;yes
17;1;8;8;no
17;2;4;7;no
15;1;2;8;yes
16;1;2;9;no
17;2;0;8;no
17;1;10;8;no
16;2;0;9;yes
16;2;0;17;yes
16;2;0;12;yes
16;2;0;16;yes
16;1;4;9;yes
16;2;0;16;yes
17;2;0;11;yes
16;2;0;14;yes
16;2;0;14;yes
17;2;0;10;yes
16;2;0;13;yes
17;2;4;11;yes
16;1;8;10;yes
17;2;4;11;yes
16;2;4;11;yes
16;2;0;11;yes
17;2;0;17;yes
17;2;32;14;yes
16;2;8;14;yes
17;2;6;11;yes
16;1;0;10;yes
16;2;0;13;yes
17;2;10;12;yes
17;2;6;9;yes
16;2;6;12;yes
17;2;0;12;yes
17;2;16;10;yes
16;1;0;11;yes
16;1;0;13;yes
17;2;8;14;yes
17;1;4;13;yes
16;1;16;10;yes
17;1;30;14;yes
16;2;0;11;yes
16;2;2;14;yes
16;2;4;11;yes
17;2;0;14;yes
17;1;21;13;yes
16;4;6;13;yes
17;3;14;8;no
16;2;2;11;yes
16;2;4;14;yes
16;1;2;12;yes
17;3;0;11;yes
19;4;4;12;yes
17;2;15;13;yes
16;2;0;13;yes
18;2;10;12;yes
17;1;6;12;yes
17;2;2;14;yes
17;2;16;11;yes
18;2;10;10;yes
17;1;4;12;yes
17;3;0;12;yes
17;2;0;11;yes
17;3;12;12;yes
16;2;0;13;yes
18;2;9;10;yes
16;3;4;15;yes
18;2;4;8;no
17;2;2;17;yes
17;2;0;10;yes
18;2;2;9;yes
17;3;0;15;yes
17;2;0;14;yes
17;2;0;12;yes
17;2;0;13;yes
16;2;0;13;yes
16;2;2;9;no
16;3;0;12;yes
17;2;0;16;yes
16;1;4;9;yes
16;2;0;14;yes
18;2;18;10;yes
18;2;16;9;yes
18;1;14;8;no
18;1;26;7;no
17;1;6;10;no
17;2;4;14;yes
17;3;10;11;yes
16;1;4;12;yes
17;2;2;13;yes
17;1;14;9;no
18;2;16;8;no
17;1;8;11;yes
17;3;4;15;yes
17;2;4;15;yes
17;2;8;15;yes
17;2;0;12;yes
16;1;7;14;yes
16;1;4;14;yes
17;2;2;11;yes
17;3;2;13;yes
17;3;10;11;yes
17;2;10;10;yes
18;3;10;12;yes
16;1;7;15;yes
17;2;4;11;yes
17;1;2;9;yes
22;1;12;7;no
18;2;8;10;yes
16;1;0;11;yes
18;1;8;7;no
16;2;4;9;yes
18;1;4;7;no
16;1;2;14;yes
17;1;0;12;yes
17;1;0;9;yes
18;2;2;12;yes
17;4;2;14;yes
19;2;0;10;yes
18;2;4;11;yes
17;3;2;11;yes
18;3;4;11;yes
18;2;4;11;yes
19;2;4;11;yes
18;2;2;16;yes
17;1;0;9;yes
17;4;2;10;yes
20;2;8;10;yes
18;2;2;15;yes
18;2;2;10;yes
18;3;2;10;yes
17;3;2;15;yes
18;3;0;11;yes
17;1;8;8;no
18;2;6;15;yes
17;2;0;11;yes
18;2;8;10;yes
18;2;4;10;yes
18;2;12;8;yes
19;2;16;11;yes
18;4;10;16;yes
18;2;2;13;yes
17;2;2;16;yes
18;2;8;14;yes
17;2;6;15;yes
17;2;6;12;yes
18;2;15;12;yes
18;1;6;11;yes
18;2;2;14;yes
17;3;8;13;yes
19;2;0;9;yes
18;1;0;10;yes
18;1;10;10;yes
17;1;22;11;yes
17;1;18;13;yes
18;4;2;17;yes
18;2;0;12;yes
17;2;12;12;yes
18;2;10;12;yes
17;2;0;12;yes
18;3;0;18;yes
17;3;0;13;yes
18;3;0;14;yes
18;2;0;17;yes
18;2;2;15;yes
17;3;0;17;yes
17;4;0;18;yes
18;3;0;14;yes
17;1;0;14;yes
19;2;2;14;yes
18;2;0;13;yes
18;4;0;16;yes
18;1;0;18;yes
18;2;0;14;yes
17;1;0;12;yes
17;3;0;7;no
17;3;0;16;yes
17;4;0;18;yes
19;3;0;9;yes
20;1;0;14;yes
19;2;0;10;yes
18;2;2;10;yes
18;2;2;12;yes
17;2;2;11;yes
17;1;2;15;yes
18;3;2;14;yes
18;1;8;12;yes
17;3;2;15;yes
18;2;8;11;yes
19;2;9;11;yes
18;2;0;12;yes
18;1;4;11;yes
17;1;2;14;yes
17;2;14;15;yes
17;2;0;12;yes
17;2;2;11;yes
18;1;2;8;yes
19;3;12;10;yes
19;2;2;8;no
18;1;2;10;yes
17;2;4;14;yes
17;3;0;11;yes
17;3;0;17;yes
17;3;0;14;yes
18;3;0;14;yes
18;3;0;13;yes
17;1;0;17;yes
17;1;2;11;yes
17;3;0;13;yes
17;3;4;15;yes
17;1;2;11;yes
18;4;0;11;yes
19;1;0;11;yes
18;2;2;10;yes
17;3;0;15;yes
18;1;6;15;yes
18;2;8;10;yes
18;2;0;10;yes
18;4;6;14;yes
17;3;8;11;yes
17;2;0;12;yes
18;4;4;14;yes
17;2;0;14;yes
18;2;0;12;yes
18;2;6;16;yes
17;2;18;10;yes
18;3;0;11;yes
18;3;4;14;yes
18;3;4;15;yes
18;3;0;14;yes
17;3;0;11;yes
17;2;10;12;yes
17;2;4;12;yes
19;1;16;10;yes
17;1;6;10;yes
21;3;0;9;yes
18;2;11;9;yes
18;2;9;13;yes
17;2;0;13;yes
17;3;2;12;yes
18;2;0;14;yes
21;2;21;9;yes
20;3;8;11;yes
19;1;5;9;yes
17;2;10;16;yes
18;3;5;14;yes
18;1;13;13;yes
19;1;10;7;yes
18;2;10;14;yes
20;1;5;8;yes
18;2;4;10;yes
16;1;11;10;yes
16;2;0;12;yes
15;1;6;10;yes
15;1;4;10;yes
16;2;0;16;yes
15;1;0;6;no
16;2;5;10;yes
16;3;0;10;yes
17;2;0;10;yes
17;1;0;6;no
15;1;0;13;yes
16;4;4;10;yes
15;2;0;10;yes
15;1;4;6;no
16;1;0;12;yes
17;1;2;10;yes
15;1;0;14;yes
16;2;0;7;no
17;2;4;8;no
15;2;0;12;yes
15;2;7;7;no
16;2;4;9;yes
15;2;8;7;no
15;2;0;11;yes
17;1;8;8;no
16;3;6;16;yes
15;1;3;11;yes
16;2;2;15;yes
16;2;0;10;yes
16;2;4;9;yes
16;3;0;10;no
16;3;3;9;no
15;2;0;9;no
16;2;0;13;yes
17;1;4;10;yes
16;4;0;13;yes
16;3;2;10;yes
15;2;1;11;yes
16;1;0;13;yes
15;2;0;13;yes
15;3;2;14;yes
16;1;6;11;yes
18;2;9;9;no
15;1;0;10;yes
16;2;1;14;yes
15;1;1;13;yes
16;2;0;13;yes
15;2;4;13;yes
16;2;2;12;yes
16;1;0;14;yes
16;1;4;10;yes
15;1;2;10;yes
15;3;0;12;yes
16;1;2;10;no
15;1;11;12;yes
16;2;0;7;no
17;1;4;9;yes
19;1;0;9;yes
17;1;2;9;yes
15;1;0;9;no
16;2;1;9;yes
16;1;6;7;no
17;2;0;11;yes
16;1;1;9;yes
18;3;6;7;yes
19;3;6;7;no
18;1;0;8;yes
18;1;4;9;yes
19;2;12;7;no
16;2;2;8;yes
17;1;5;9;yes
16;2;0;8;no
16;1;0;14;yes
16;1;2;14;yes
17;4;0;10;yes
16;2;0;14;yes
16;1;0;17;yes
17;1;12;6;no
16;1;8;14;yes
17;4;2;10;no
16;4;0;14;yes
19;3;0;12;yes
17;1;0;11;yes
20;2;8;11;yes
17;3;0;11;yes
17;1;0;10;no
16;2;0;16;yes
17;2;0;15;yes
17;2;1;11;yes
18;2;9;7;no
16;1;0;8;no
16;1;2;7;no
18;2;8;9;yes
16;2;0;14;yes
16;1;0;14;yes
18;2;8;8;no
16;2;0;8;no
16;2;6;6;no
16;2;0;8;yes
16;2;4;8;no
18;4;2;5;no
16;2;2;7;no
17;3;0;15;yes
17;1;1;13;yes
16;3;0;10;yes
17;1;5;9;no
16;1;1;11;yes
17;1;8;7;no
17;2;0;10;yes
16;2;2;9;no
16;2;0;14;yes
16;1;0;11;yes
15;2;11;9;yes
15;4;8;13;yes
15;1;11;12;yes
16;3;2;11;yes
16;2;8;9;yes
17;1;5;9;yes
17;2;0;11;yes
16;3;1;10;yes
17;1;2;9;no
17;1;2;12;yes
17;2;8;8;no
17;2;0;13;yes
16;1;0;10;yes
17;2;2;11;yes
17;2;0;17;yes
16;2;0;12;yes
17;2;0;13;yes
19;2;2;9;yes
17;1;4;11;yes
17;1;3;10;yes
16;3;5;13;yes
16;1;4;9;yes
17;2;2;7;yes
17;1;0;8;yes
18;1;0;12;yes
17;1;0;10;yes
18;2;6;10;yes
16;2;0;11;yes
17;1;0;7;no
16;1;2;11;yes
16;1;0;10;no
18;1;2;9;no
18;1;0;4;no
19;1;4;6;no
18;2;9;4;no
16;1;6;7;no
19;1;4;8;no
16;2;8;5;no
17;1;9;7;yes
20;1;12;8;yes
18;1;8;10;yes
18;1;8;9;yes
19;2;8;10;yes
17;2;4;8;yes
18;1;0;9;no
19;1;4;8;yes
18;2;2;6;no
19;1;0;6;no
18;1;0;8;no
17;1;0;10;yes
17;3;5;8;no
17;2;0;8;no
18;2;3;7;no
17;1;0;8;no
17;1;0;7;yes
18;2;3;7;no
18;2;2;12;yes
17;1;0;11;yes
18;2;0;12;yes
18;2;0;18;yes
18;1;3;17;yes
17;2;0;17;yes
18;2;0;9;no
18;1;8;10;yes
18;1;5;12;yes
17;1;4;12;yes
18;2;4;8;yes
18;3;0;11;yes
18;2;0;5;no
18;2;2;9;yes
19;1;0;5;no
17;4;0;18;yes
17;2;5;11;yes
18;2;2;8;yes
18;2;0;11;yes
19;2;0;8;no
18;3;5;14;yes
17;2;4;10;yes
18;2;0;10;yes
17;2;2;12;yes
17;2;0;15;yes
18;1;2;14;yes
18;3;0;19;yes
18;2;0;16;yes
18;2;6;13;yes
17;2;4;15;yes
17;2;0;13;yes
18;2;0;8;no
18;3;0;15;yes
17;1;0;8;no
18;1;0;10;yes
18;2;0;7;no
18;1;3;9;yes
17;3;8;10;yes
17;1;4;7;no
18;3;0;15;yes
18;3;4;10;yes
19;2;4;7;no
18;2;1;13;yes
18;2;1;16;yes
17;2;10;8;no
18;2;4;17;yes
18;1;0;7;no
17;2;4;14;yes
19;1;0;5;no
18;1;0;7;no
18;3;0;14;yes
17;2;0;6;yes
18;1;4;7;yes
19;3;4;10;yes
18;2;4;15;yes
18;2;6;11;no
17;1;6;10;yes
18;1;4;10;yes
