id etudiant;reussite;note de smestre1;heures-etudie;absences;age;score_total
S0001;;8;1;12;16;5.6
S0002;;19;4;5;20;18.0
S0003;;15;1;9;20;13.2
S0004;;12;2;14;16;9.2
S0005;;3;2;17;16;-0.40000000000000036
S0006;;3;2;19;20;-0.8000000000000003
S0007;;2;1;20;18;-2.0
S0008;;17;4;9;17;15.2
S0009;;12;1;14;16;9.2
S0010;;14;3;15;19;11.0
S0011;;1;1;21;17;-3.2
S0012;;19;1;6;19;17.8
S0013;;16;4;11;16;13.8
S0014;;4;1;17;18;0.5999999999999996
S0015;;3;4;12;18;0.5999999999999996
S0016;;4;3;14;17;1.1999999999999997
S0017;;6;1;11;20;3.8
S0018;;11;4;11;20;8.8
S0019;;8;1;11;16;5.8
S0020;;6;4;17;17;2.5999999999999996
S0021;;13;1;13;19;10.4
S0022;;3;4;24;18;-1.8000000000000007
S0023;;6;1;13;17;3.4
S0024;;7;3;11;20;4.8
S0025;;9;4;15;18;6.0
S0026;;15;4;9;19;13.2
S0027;;4;4;19;16;0.19999999999999973
S0028;;10;4;11;20;7.8
S0029;;12;4;9;19;10.2
S0030;;1;1;23;18;-3.6000000000000005
S0031;;12;2;10;17;10.0
S0032;;4;2;18;19;0.3999999999999999
S0033;;2;2;18;20;-1.6
S0034;;18;2;5;17;17.0
S0035;;19;3;7;17;17.6
S0036;;15;1;9;20;13.2
S0037;;6;3;16;19;2.8
S0038;;2;1;16;18;-1.2000000000000002
S0039;;13;2;9;19;11.2
S0040;;9;3;13;19;6.4
S0041;;3;4;21;17;-1.2000000000000002
S0042;;10;3;14;16;7.199999999999999
S0043;;1;3;17;16;-2.4000000000000004
S0044;;18;1;7;16;16.6
S0045;;5;3;14;17;2.1999999999999997
S0046;;13;1;6;20;11.8
S0047;;6;2;13;19;3.4
S0048;;11;2;12;16;8.6
S0049;;11;1;13;19;8.4
S0050;;3;2;23;20;-1.6000000000000005
S0051;;19;4;7;18;17.6
S0052;;15;4;10;18;13.0
S0053;;18;2;6;16;16.8
S0054;;18;1;8;19;16.4
S0055;;12;1;12;18;9.6
