age;heures-etudie;absences;note de smestre1;reussite;heures-sommeil
18;4;1;11;yes;7
19;2;16;4;no;8
17;1;19;16;yes;6
19;3;23;15;no;8
19;1;11;14;yes;8
16;1;17;14;yes;5
17;2;2;4;no;6
17;4;0;20;yes;6
17;2;0;13;yes;6
19;2;18;1;no;8
18;2;10;10;yes;7
17;2;4;18;yes;6
20;3;11;6;no;9
19;4;2;5;no;8
16;1;0;1;no;5
18;1;0;5;no;7
20;4;7;17;yes;9
20;1;9;1;no;9
16;4;10;17;yes;5
18;1;11;14;yes;7
19;2;12;18;yes;8
15;1;11;1;no;4
18;4;13;19;yes;7
16;4;1;5;no;5
20;4;18;0;no;9
19;4;17;14;yes;8
18;4;2;9;no;7
15;3;22;18;no;4
15;3;16;16;yes;4
17;1;7;4;no;6
17;4;9;3;no;6
16;1;1;9;no;5
18;4;18;16;yes;7
18;4;8;9;no;7
20;3;6;16;yes;9
20;3;3;19;yes;9
20;2;20;4;no;9
17;3;17;1;no;6
18;2;12;5;no;7
18;2;10;20;yes;7
15;2;23;1;no;4
17;2;3;12;yes;6
19;2;24;10;no;8
17;1;20;10;no;6
19;3;24;15;no;8
15;2;3;10;yes;4
16;4;9;18;yes;5
18;3;4;14;yes;7
15;3;8;15;yes;4
18;2;23;10;no;7
20;1;2;15;yes;9
16;2;16;7;no;5
16;1;2;3;no;5
15;4;15;7;no;4
16;3;3;3;no;5
19;4;17;2;no;8
16;1;16;2;no;5
18;1;6;17;yes;7
18;4;23;18;no;7
18;1;22;18;no;7
18;4;4;20;yes;7
19;3;11;4;no;8
17;4;16;17;yes;6
20;3;22;9;no;9
15;4;12;20;yes;4
18;1;22;5;no;7
16;4;24;0;no;5
18;1;2;4;no;7
16;4;8;8;no;5
20;4;16;11;yes;9
20;2;16;13;yes;9
20;1;19;1;no;9
16;2;15;16;yes;5
18;1;24;13;no;7
20;2;21;12;no;9
19;3;12;8;no;8
16;4;18;14;yes;5
16;1;16;14;yes;5
18;1;3;10;yes;7
16;4;11;15;yes;5
16;1;8;16;yes;5
20;1;18;3;no;9
18;2;11;0;no;7
20;1;8;7;no;9
20;3;6;16;yes;9
18;3;13;2;no;7
15;4;19;19;yes;4
20;1;18;14;yes;9
19;4;14;14;yes;8
19;3;15;13;yes;8
16;1;20;13;no;5
19;1;4;1;no;8
16;4;2;12;yes;5
15;3;11;13;yes;4
18;1;24;18;no;7
18;4;19;6;no;7
18;3;20;2;no;7
19;4;3;14;yes;8
15;2;20;13;no;4
19;1;22;10;no;8
19;2;15;14;yes;8
15;3;24;12;no;4
15;2;6;17;yes;4
15;2;12;5;no;4
15;3;20;2;no;4
18;4;9;18;yes;7
17;2;6;14;yes;6
17;4;13;4;no;6
15;2;4;9;no;4
17;4;2;6;no;6
17;3;22;16;no;6
15;2;10;6;no;4
17;3;10;11;yes;6
19;2;17;16;yes;8
16;3;14;12;yes;5
16;3;11;19;yes;5
15;2;8;3;no;4
18;2;9;9;no;7
15;2;11;2;no;4
18;1;16;8;no;7
16;4;5;12;yes;5
15;1;6;17;yes;4
20;1;13;14;yes;9
19;3;12;3;no;8
17;2;7;14;yes;6
18;4;9;1;no;7
20;3;8;14;yes;9
17;1;17;7;no;6
17;2;1;7;no;6
15;3;4;16;yes;4
17;2;4;11;yes;6
19;3;5;18;yes;8
20;2;18;9;no;9
17;1;7;8;no;6
15;4;15;4;no;4
19;1;12;5;no;8
16;4;0;19;yes;5
20;2;21;1;no;9
17;3;19;12;yes;6
15;1;16;5;no;4
16;4;6;4;no;5
16;1;24;0;no;5
18;4;12;20;yes;7
19;1;3;20;yes;8
17;4;3;5;no;6
15;4;5;5;no;4
18;2;18;15;yes;7
19;4;11;3;no;8
18;2;21;10;no;7
20;4;6;8;no;9
19;3;9;2;no;8
19;3;18;18;yes;8
17;3;6;7;no;6
19;4;2;4;no;8
18;2;12;3;no;7
19;2;12;5;no;8
17;4;17;1;no;6
17;3;19;19;yes;6
20;3;7;10;yes;9
18;2;8;3;no;7
16;3;6;14;yes;5
16;1;0;5;no;5
19;2;2;16;yes;8
20;3;12;5;no;9
15;2;24;18;no;4
19;1;16;1;no;8
20;2;24;14;no;9
18;2;23;10;no;7
18;2;0;7;no;7
18;2;5;18;yes;7
18;1;20;12;no;7
18;4;5;11;yes;7
20;2;11;4;no;9
20;2;12;5;no;9
17;3;12;3;no;6
16;2;14;18;yes;5
18;3;20;19;no;7
15;4;15;0;no;4
20;1;21;19;no;9
15;1;20;16;no;4
15;4;10;11;yes;4
15;1;4;14;yes;4
17;4;3;0;no;6
20;4;2;13;yes;9
15;4;18;5;no;4
18;1;19;4;no;7
19;3;24;10;no;8
15;4;17;3;no;4
17;2;14;12;yes;6
20;1;8;10;yes;9
17;4;16;2;no;6
15;4;13;0;no;4
20;2;14;5;no;9
19;3;0;17;yes;8
15;3;20;9;no;4
17;3;21;4;no;6
16;4;21;9;no;5
18;4;2;11;yes;7
17;4;15;1;no;6
20;1;22;12;no;9
15;2;24;7;no;4
18;4;10;1;no;7
15;2;11;19;yes;4
20;2;9;0;no;9
15;3;15;4;no;4
16;1;7;8;no;5
18;4;5;16;yes;7
18;3;11;8;no;7
20;3;23;10;no;9
16;4;20;14;no;5
17;2;7;5;no;6
15;3;3;2;no;4
19;2;7;16;yes;8
15;1;17;4;no;4
15;2;4;11;yes;4
17;1;8;17;yes;6
15;2;3;13;yes;4
16;3;21;20;no;5
16;3;16;10;yes;5
18;1;8;8;no;7
20;4;0;1;no;9
19;1;20;11;no;8
15;1;19;2;no;4
15;2;12;2;no;4
17;2;15;0;no;6
20;1;12;7;no;9
16;3;13;7;no;5
19;2;2;10;yes;8
18;4;5;8;no;7
16;2;17;4;no;5
20;2;18;13;yes;9
18;4;4;2;no;7
17;1;14;20;yes;6
17;4;24;4;no;6
15;1;1;4;no;4
20;1;9;18;yes;9
19;1;23;13;no;8
18;4;17;3;no;7
16;1;12;12;yes;5
20;3;4;9;no;9
20;4;22;17;no;9
17;3;23;7;no;6
15;1;0;7;no;4
15;2;21;6;no;4
18;1;0;7;no;7
17;3;17;13;yes;6
20;3;14;18;yes;9
19;4;16;5;no;8
17;2;10;0;no;6
18;4;20;14;no;7
18;3;24;0;no;7
17;1;21;16;no;6
18;2;16;0;no;7
17;1;12;14;yes;6
16;1;0;1;no;5
17;2;1;13;yes;6
17;4;8;20;yes;6
18;1;2;7;no;7
18;3;0;7;no;7
15;1;20;18;no;4
15;2;15;6;no;4
16;2;22;18;no;5
15;2;5;5;no;4
17;4;16;5;no;6
18;1;4;2;no;7
15;4;4;6;no;4
15;4;5;18;yes;4
16;2;2;7;no;5
20;2;20;9;no;9
16;4;22;19;no;5
17;1;4;14;yes;6
18;3;20;14;no;7
16;4;4;0;no;5
15;1;9;19;yes;4
18;2;9;6;no;7
18;2;18;3;no;7
15;1;16;5;no;4
16;3;20;0;no;5
15;2;13;4;no;4
20;2;8;0;no;9
18;2;13;3;no;7
19;1;0;1;no;8
19;4;18;9;no;8
17;2;12;4;no;6
15;4;12;9;no;4
15;3;3;0;no;4
17;2;0;5;no;6
17;2;16;12;yes;6
17;3;7;14;yes;6
18;2;1;3;no;7
20;4;7;12;yes;9
15;1;6;19;yes;4
18;4;1;14;yes;7
17;1;21;7;no;6
15;1;21;4;no;4
18;4;2;14;yes;7
20;4;17;3;no;9
18;4;11;11;yes;7
20;4;0;12;yes;9
17;3;21;1;no;6
